interval,time,set,stroke,kg
103,307871,1,4,-0.01
103,307975,1,4,-0.02
103,308078,1,4,-0.02
103,308182,1,4,-0.02
103,308285,1,4,-0.02
103,308388,1,4,-0.02
103,308492,1,4,0.03
103,308595,1,4,0.52
103,308699,1,4,1.86
103,308802,1,4,3.7
103,308906,1,4,3.59
103,309009,1,4,3.25
103,309112,1,4,2.74
103,309216,1,4,1.39
103,309319,1,4,-0.01
103,309423,1,4,-0.01
103,309526,1,4,-0.02
104,309630,1,4,-0.02
103,309734,1,4,-0.02
103,309838,1,4,-0.02
103,309941,1,4,-0.02
103,310144,1,5,-0.02
103,310248,1,5,-0.02
103,310351,1,5,-0.02
103,310455,1,5,-0.02
103,310558,1,5,-0.02
103,310662,1,5,-0.02
103,310765,1,5,-0.02
103,310868,1,5,-0.02
103,310972,1,5,-0.02
103,311075,1,5,-0.02
103,311179,1,5,0.02
103,311282,1,5,0.55
103,311386,1,5,2.1
103,311489,1,5,4.07
103,311592,1,5,4.3
103,311696,1,5,4.08
103,311799,1,5,3.18
103,311903,1,5,1.57
103,312006,1,5,-0.02
103,312110,1,5,-0.02
103,312313,1,6,-0.01
103,312416,1,6,-0.01
103,312520,1,6,-0.02
103,312623,1,6,-0.02
103,312727,1,6,-0.02
103,312830,1,6,-0.02
103,312934,1,6,0.01
103,313037,1,6,1.08
103,313140,1,6,2.68
103,313244,1,6,3.67
103,313347,1,6,4.12
103,313451,1,6,4.17
103,313554,1,6,1.9
103,313658,1,6,0.31
103,313761,1,6,-0.02
103,313965,1,7,-0.02
103,314068,1,7,-0.02
103,314171,1,7,-0.02
103,314275,1,7,-0.02
103,314378,1,7,-0.02
103,314482,1,7,-0.02
104,314585,1,7,0.6
103,314689,1,7,1.88
103,314793,1,7,3.2
103,314896,1,7,3.98
103,315000,1,7,4.13
103,315103,1,7,1.63
103,315207,1,7,0.28
103,315310,1,7,-0.02
103,315514,1,8,-0.02
103,315617,1,8,-0.02
103,315720,1,8,-0.02
103,315824,1,8,-0.02
103,315927,1,8,-0.02
103,316031,1,8,-0.02
103,316134,1,8,0.04
103,316238,1,8,2.06
103,316341,1,8,3.49
103,316444,1,8,4.2
103,316548,1,8,4.5
103,316651,1,8,4.59
103,316755,1,8,3.08
103,316858,1,8,1.26
103,316962,1,8,0.16
103,317065,1,8,-0.02
103,317268,1,9,-0.02
103,317372,1,9,-0.02
103,317475,1,9,-0.02
103,317579,1,9,-0.02
103,317682,1,9,-0.02
103,317786,1,9,0.87
103,317889,1,9,2.42
103,317992,1,9,3.78
103,318096,1,9,4.33
103,318199,1,9,4.2
103,318303,1,9,1.64
103,318406,1,9,0.29
103,318510,1,9,-0.01
103,318613,1,9,-0.02
103,318817,1,10,-0.01
104,318920,1,10,-0.01
103,319024,1,10,-0.02
103,319128,1,10,-0.02
103,319231,1,10,-0.02
103,319335,1,10,0.27
103,319438,1,10,1.39
103,319542,1,10,3.01
103,319645,1,10,4.03
103,319748,1,10,4.25
103,319852,1,10,2.57
103,319955,1,10,1
103,320059,1,10,0.09
103,320162,1,10,-0.02
103,320266,1,10,-0.01
103,320369,1,10,-0.01
103,320572,1,11,-0.01
103,320676,1,11,-0.01
103,320779,1,11,-0.02
103,320883,1,11,-0.02
103,320986,1,11,-0.02
103,321090,1,11,-0.02
103,321193,1,11,0.03
103,321296,1,11,0.41
103,321400,1,11,3.34
103,321503,1,11,4.05
103,321607,1,11,3.77
103,321710,1,11,2.52
103,321814,1,11,0.84
103,321917,1,11,-0.02
103,322020,1,11,-0.02
103,322224,1,12,-0.02
103,322327,1,12,-0.02
103,322431,1,12,-0.02
103,322534,1,12,-0.02
103,322638,1,12,-0.02
103,322741,1,12,-0.02
103,322844,1,12,-0.02
103,322948,1,12,-0.02
103,323051,1,12,-0.02
103,323155,1,12,0.07
103,323258,1,12,0.7
103,323362,1,12,2.23
103,323465,1,12,3.63
103,323569,1,12,4.04
103,323672,1,12,2.82
103,323775,1,12,1.05
103,323879,1,12,0.11
103,323982,1,12,-0.02
103,324186,1,13,-0.01
103,324289,1,13,-0.01
103,324393,1,13,-0.02
103,324496,1,13,-0.02
103,324599,1,13,-0.02
103,324703,1,13,-0.02
103,324806,1,13,0.07
103,324910,1,13,0.59
103,325013,1,13,1.93
103,325117,1,13,4.27
103,325220,1,13,4.33
103,325323,1,13,3.77
103,325427,1,13,2.64
103,325530,1,13,1
